mId.x,mShortName.x,mId.y,mShortName.y,year
5003,Cadenazzo,5003,Cadenazzo,2005
5016,Robasacco,5003,Cadenazzo,2005
5391,C'za Medeglia/Robasacco,5391,C'za Medeglia/Cadenazzo,2005
5145,Arosio,5237,Alto Malcantone,2005
5159,Breno,5237,Alto Malcantone,2005
5183,Fescoggia,5237,Alto Malcantone,2005
5204,Mugena,5237,Alto Malcantone,2005
5232,Vezio,5237,Alto Malcantone,2005
1124,Buchs (LU),1125,Dagmersellen,2006
1125,Dagmersellen,1125,Dagmersellen,2006
1144,Uffikon,1125,Dagmersellen,2006
1128,Ettiswil,1128,Ettiswil,2006
1133,Kottwil,1128,Ettiswil,2006
1148,Willisau Land,1151,Willisau,2006
1149,Willisau Stadt,1151,Willisau,2006
1134,Langnau bei Reiden,1140,Reiden,2006
1140,Reiden,1140,Reiden,2006
1141,Richenthal,1140,Reiden,2006
2002,Autavaux,2052,Vernay,2006
2018,Forel (FR),2052,Vernay,2006
2031,Montbrelloz,2052,Vernay,2006
2003,Bollion,2025,Lully (FR),2006
2025,Lully (FR),2025,Lully (FR),2006
2042,Seiry,2025,Lully (FR),2006
2074,Esmonts,2112,Vuarmarens,2006
2112,Vuarmarens,2112,Vuarmarens,2006
2123,Botterens,2123,Botterens,2006
2156,Villarbeney,2123,Botterens,2006
2125,Bulle,2125,Bulle,2006
2154,La Tour-de-Trême,2125,Bulle,2006
2241,Agriswil,2276,Ried bei Kerzers,2006
2276,Ried bei Kerzers,2276,Ried bei Kerzers,2006
2494,Niedererlinsbach,2503,Erlinsbach (SO),2006
2496,Obererlinsbach,2503,Erlinsbach (SO),2006
3692,Medels im Rheinwald,3694,Splügen,2006
3694,Splügen,3694,Splügen,2006
4005,Erlinsbach,4005,Erlinsbach (AG),2006
4036,Oberehrendingen,4049,Ehrendingen,2006
4043,Unterehrendingen,4049,Ehrendingen,2006
4116,Stilli,4121,Villigen,2006
4121,Villigen,4121,Villigen,2006
5065,Calonico,5072,Faido,2006
5069,Chiggiogna,5072,Faido,2006
5072,Faido,5072,Faido,2006
5080,Rossura,5072,Faido,2006
1610,Haslen,1610,Haslen,2006
1612,Leuggelbach,1610,Haslen,2006
1621,Nidfurn,1610,Haslen,2006
5451,Avenches,5451,Avenches,2006
5457,Donatyre,5451,Avenches,2006
5823,Rossens (VD),5830,Villarzel,2006
5825,Sédeilles,5830,Villarzel,2006
5830,Villarzel,5830,Villarzel,2006
5401,Aigle,5401,Aigle,2006
5402,Bex,5402,Bex,2006
5403,Chessel,5403,Chessel,2006
5404,Corbeyrier,5404,Corbeyrier,2006
5405,Gryon,5405,Gryon,2006
5406,Lavey-Morcles,5406,Lavey-Morcles,2006
5407,Leysin,5407,Leysin,2006
5408,Noville,5408,Noville,2006
5409,Ollon,5409,Ollon,2006
5410,Ormont-Dessous,5410,Ormont-Dessous,2006
5411,Ormont-Dessus,5411,Ormont-Dessus,2006
5412,Rennaz,5412,Rennaz,2006
5413,Roche (VD),5413,Roche (VD),2006
5414,Villeneuve (VD),5414,Villeneuve (VD),2006
5415,Yvorne,5415,Yvorne,2006
5421,Apples,5421,Apples,2006
5422,Aubonne,5422,Aubonne,2006
5423,Ballens,5423,Ballens,2006
5424,Berolle,5424,Berolle,2006
5425,Bière,5425,Bière,2006
5426,Bougy-Villars,5426,Bougy-Villars,2006
5427,Féchy,5427,Féchy,2006
5428,Gimel,5428,Gimel,2006
5429,Longirod,5429,Longirod,2006
5430,Marchissy,5430,Marchissy,2006
5431,Mollens (VD),5431,Mollens (VD),2006
5432,Montherod,5432,Montherod,2006
5433,Pizy,5433,Pizy,2006
5434,Saint-George,5434,Saint-George,2006
5435,Saint-Livres,5435,Saint-Livres,2006
5436,Saint-Oyens,5436,Saint-Oyens,2006
5437,Saubraz,5437,Saubraz,2006
5452,Bellerive (VD),5452,Bellerive (VD),2006
5453,Chabrey,5453,Chabrey,2006
5455,Constantine,5455,Constantine,2006
5456,Cudrefin,5456,Cudrefin,2006
5458,Faoug,5458,Faoug,2006
5459,Montmagny,5459,Montmagny,2006
5460,Mur (VD),5460,Mur (VD),2006
5461,Oleyres,5461,Oleyres,2006
5462,Vallamand,5462,Vallamand,2006
5463,Villars-le-Grand,5463,Villars-le-Grand,2006
5471,Bettens,5471,Bettens,2006
5472,Bournens,5472,Bournens,2006
5473,Boussens,5473,Boussens,2006
5474,La Chaux (Cossonay),5474,La Chaux (Cossonay),2006
5475,Chavannes-le-Veyron,5475,Chavannes-le-Veyron,2006
5476,Chevilly,5476,Chevilly,2006
5477,Cossonay,5477,Cossonay,2006
5478,Cottens (VD),5478,Cottens (VD),2006
5479,Cuarnens,5479,Cuarnens,2006
5480,Daillens,5480,Daillens,2006
5481,Dizy,5481,Dizy,2006
5482,Eclépens,5482,Eclépens,2006
5483,Ferreyres,5483,Ferreyres,2006
5484,Gollion,5484,Gollion,2006
5485,Grancy,5485,Grancy,2006
5486,L'Isle,5486,L'Isle,2006
5487,Lussery-Villars,5487,Lussery-Villars,2006
5488,Mauraz,5488,Mauraz,2006
5489,Mex (VD),5489,Mex (VD),2006
5490,Moiry,5490,Moiry,2006
5491,Mont-la-Ville,5491,Mont-la-Ville,2006
5492,Montricher,5492,Montricher,2006
5493,Orny,5493,Orny,2006
5494,Pampigny,5494,Pampigny,2006
5495,Penthalaz,5495,Penthalaz,2006
5496,Penthaz,5496,Penthaz,2006
5497,Pompaples,5497,Pompaples,2006
5498,La Sarraz,5498,La Sarraz,2006
5499,Senarclens,5499,Senarclens,2006
5500,Sévery,5500,Sévery,2006
5501,Sullens,5501,Sullens,2006
5503,Vufflens-la-Ville,5503,Vufflens-la-Ville,2006
5511,Assens,5511,Assens,2006
5512,Bercher,5512,Bercher,2006
