mId.x,mShortName.x,mId.y,mShortName.y,year
5065,Calonico,5072,Faido,2006
5069,Chiggiogna,5072,Faido,2006
5072,Faido,5072,Faido,2006
5080,Rossura,5072,Faido,2006
1610,Haslen,1610,Haslen,2006
1612,Leuggelbach,1610,Haslen,2006
1621,Nidfurn,1610,Haslen,2006
5451,Avenches,5451,Avenches,2006
5457,Donatyre,5451,Avenches,2006
5823,Rossens (VD),5830,Villarzel,2006
5825,Sédeilles,5830,Villarzel,2006
5830,Villarzel,5830,Villarzel,2006
5401,Aigle,5401,Aigle,2006
5402,Bex,5402,Bex,2006
5403,Chessel,5403,Chessel,2006
5404,Corbeyrier,5404,Corbeyrier,2006
5405,Gryon,5405,Gryon,2006
5406,Lavey-Morcles,5406,Lavey-Morcles,2006
5407,Leysin,5407,Leysin,2006
5408,Noville,5408,Noville,2006
5409,Ollon,5409,Ollon,2006
5410,Ormont-Dessous,5410,Ormont-Dessous,2006
5411,Ormont-Dessus,5411,Ormont-Dessus,2006
5412,Rennaz,5412,Rennaz,2006
5413,Roche (VD),5413,Roche (VD),2006
5414,Villeneuve (VD),5414,Villeneuve (VD),2006
5415,Yvorne,5415,Yvorne,2006
5421,Apples,5421,Apples,2006
5422,Aubonne,5422,Aubonne,2006
5423,Ballens,5423,Ballens,2006
5424,Berolle,5424,Berolle,2006
5425,Bière,5425,Bière,2006
5426,Bougy-Villars,5426,Bougy-Villars,2006
5427,Féchy,5427,Féchy,2006
5428,Gimel,5428,Gimel,2006
5429,Longirod,5429,Longirod,2006
5430,Marchissy,5430,Marchissy,2006
5431,Mollens (VD),5431,Mollens (VD),2006
5432,Montherod,5432,Montherod,2006
5433,Pizy,5433,Pizy,2006
5434,Saint-George,5434,Saint-George,2006
5435,Saint-Livres,5435,Saint-Livres,2006
5436,Saint-Oyens,5436,Saint-Oyens,2006
5437,Saubraz,5437,Saubraz,2006
5452,Bellerive (VD),5452,Bellerive (VD),2006
5453,Chabrey,5453,Chabrey,2006
5455,Constantine,5455,Constantine,2006
5456,Cudrefin,5456,Cudrefin,2006
5458,Faoug,5458,Faoug,2006
5459,Montmagny,5459,Montmagny,2006
5460,Mur (VD),5460,Mur (VD),2006
5461,Oleyres,5461,Oleyres,2006
5462,Vallamand,5462,Vallamand,2006
5463,Villars-le-Grand,5463,Villars-le-Grand,2006
5471,Bettens,5471,Bettens,2006
5472,Bournens,5472,Bournens,2006
5473,Boussens,5473,Boussens,2006
5474,La Chaux (Cossonay),5474,La Chaux (Cossonay),2006
5475,Chavannes-le-Veyron,5475,Chavannes-le-Veyron,2006
5476,Chevilly,5476,Chevilly,2006
5477,Cossonay,5477,Cossonay,2006
5478,Cottens (VD),5478,Cottens (VD),2006
5479,Cuarnens,5479,Cuarnens,2006
5480,Daillens,5480,Daillens,2006
