mId.x,mShortName.x,mId.y,mShortName.y,year
5003,Cadenazzo,5003,Cadenazzo,2006
5016,Robasacco,5003,Cadenazzo,2006
5391,C'za Medeglia/Robasacco,5391,C'za Medeglia/Cadenazzo,2006
5145,Arosio,5237,Alto Malcantone,2006
5159,Breno,5237,Alto Malcantone,2006
5183,Fescoggia,5237,Alto Malcantone,2006
5204,Mugena,5237,Alto Malcantone,2006
5232,Vezio,5237,Alto Malcantone,2006
1124,Buchs (LU),1125,Dagmersellen,2007
1125,Dagmersellen,1125,Dagmersellen,2007
1144,Uffikon,1125,Dagmersellen,2007
1128,Ettiswil,1128,Ettiswil,2007
1133,Kottwil,1128,Ettiswil,2007
1148,Willisau Land,1151,Willisau,2007
1149,Willisau Stadt,1151,Willisau,2007
1134,Langnau bei Reiden,1140,Reiden,2007
1140,Reiden,1140,Reiden,2007
1141,Richenthal,1140,Reiden,2007
2002,Autavaux,2052,Vernay,2007
2018,Forel (FR),2052,Vernay,2007
2031,Montbrelloz,2052,Vernay,2007
2003,Bollion,2025,Lully (FR),2007
2025,Lully (FR),2025,Lully (FR),2007
2042,Seiry,2025,Lully (FR),2007
2074,Esmonts,2112,Vuarmarens,2007
2112,Vuarmarens,2112,Vuarmarens,2007
2123,Botterens,2123,Botterens,2007
2156,Villarbeney,2123,Botterens,2007
2125,Bulle,2125,Bulle,2007
2154,La Tour-de-Trême,2125,Bulle,2007
2241,Agriswil,2276,Ried bei Kerzers,2007
2276,Ried bei Kerzers,2276,Ried bei Kerzers,2007
2494,Niedererlinsbach,2503,Erlinsbach (SO),2007
2496,Obererlinsbach,2503,Erlinsbach (SO),2007
3692,Medels im Rheinwald,3694,Splügen,2007
3694,Splügen,3694,Splügen,2007
4005,Erlinsbach,4005,Erlinsbach (AG),2007
4036,Oberehrendingen,4049,Ehrendingen,2007
4043,Unterehrendingen,4049,Ehrendingen,2007
4116,Stilli,4121,Villigen,2007
4121,Villigen,4121,Villigen,2007
5065,Calonico,5072,Faido,2007
5069,Chiggiogna,5072,Faido,2007
5072,Faido,5072,Faido,2007
5080,Rossura,5072,Faido,2007
1610,Haslen,1610,Haslen,2007
1612,Leuggelbach,1610,Haslen,2007
1621,Nidfurn,1610,Haslen,2007
5451,Avenches,5451,Avenches,2007
5457,Donatyre,5451,Avenches,2007
5823,Rossens (VD),5830,Villarzel,2007
5825,Sédeilles,5830,Villarzel,2007
5830,Villarzel,5830,Villarzel,2007
5401,Aigle,5401,Aigle,2007
5402,Bex,5402,Bex,2007
5403,Chessel,5403,Chessel,2007
5404,Corbeyrier,5404,Corbeyrier,2007
5405,Gryon,5405,Gryon,2007
5406,Lavey-Morcles,5406,Lavey-Morcles,2007
5407,Leysin,5407,Leysin,2007
5408,Noville,5408,Noville,2007
5409,Ollon,5409,Ollon,2007
5410,Ormont-Dessous,5410,Ormont-Dessous,2007
5411,Ormont-Dessus,5411,Ormont-Dessus,2007
5412,Rennaz,5412,Rennaz,2007
5413,Roche (VD),5413,Roche (VD),2007
5414,Villeneuve (VD),5414,Villeneuve (VD),2007
5415,Yvorne,5415,Yvorne,2007
5421,Apples,5421,Apples,2007
5422,Aubonne,5422,Aubonne,2007
5423,Ballens,5423,Ballens,2007
5424,Berolle,5424,Berolle,2007
5425,Bière,5425,Bière,2007
5426,Bougy-Villars,5426,Bougy-Villars,2007
5427,Féchy,5427,Féchy,2007
5428,Gimel,5428,Gimel,2007
5429,Longirod,5429,Longirod,2007
5430,Marchissy,5430,Marchissy,2007
5431,Mollens (VD),5431,Mollens (VD),2007
5432,Montherod,5432,Montherod,2007
5433,Pizy,5433,Pizy,2007
5434,Saint-George,5434,Saint-George,2007
5435,Saint-Livres,5435,Saint-Livres,2007
5436,Saint-Oyens,5436,Saint-Oyens,2007
5437,Saubraz,5437,Saubraz,2007
5452,Bellerive (VD),5452,Bellerive (VD),2007
5453,Chabrey,5453,Chabrey,2007
5455,Constantine,5455,Constantine,2007
5456,Cudrefin,5456,Cudrefin,2007
5458,Faoug,5458,Faoug,2007
5459,Montmagny,5459,Montmagny,2007
5460,Mur (VD),5460,Mur (VD),2007
5461,Oleyres,5461,Oleyres,2007
5462,Vallamand,5462,Vallamand,2007
5463,Villars-le-Grand,5463,Villars-le-Grand,2007
5471,Bettens,5471,Bettens,2007
5472,Bournens,5472,Bournens,2007
5473,Boussens,5473,Boussens,2007
5474,La Chaux (Cossonay),5474,La Chaux (Cossonay),2007
5475,Chavannes-le-Veyron,5475,Chavannes-le-Veyron,2007
5476,Chevilly,5476,Chevilly,2007
5477,Cossonay,5477,Cossonay,2007
5478,Cottens (VD),5478,Cottens (VD),2007
5479,Cuarnens,5479,Cuarnens,2007
5480,Daillens,5480,Daillens,2007
5481,Dizy,5481,Dizy,2007
5482,Eclépens,5482,Eclépens,2007
5483,Ferreyres,5483,Ferreyres,2007
5484,Gollion,5484,Gollion,2007
5485,Grancy,5485,Grancy,2007
5486,L'Isle,5486,L'Isle,2007
5487,Lussery-Villars,5487,Lussery-Villars,2007
